error_code,feature,error_description,error_cause,error_response,error_url
ADMIN-ALREADYREPLICA,ADMIN,Forest variable1 is already a replica of forest variable2,This forest is already a replica.,This forest is already a replica. You do not need to do anything.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-ALREADYREPLICA
ADMIN-ATTACHSHAREDDISKFAILOVER,ADMIN,Forest variable1 is configured for shared disk fail-over and can't be attached to a database which is configured for database replication.,Tried to attach a forest to a database that is configured for database replication and the forest is already configured for shared disk failover.,Either remove shared disk failover and use the forest for database replication or use a different forest for database replication.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-ATTACHSHAREDDISKFAILOVER
ADMIN-BADCERTTEMPLATE,ADMIN,'variable1' is not a valid certificate template id,Specified SSL certificate template is not valid.,Specify a valid SSL certificate template id. You can use functions like pki:template-get-id and pki:get-template-by-name to get the correct template id.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-BADCERTTEMPLATE
ADMIN-BADCUSTOMFIELD,ADMIN,Bad field for custom tokenization: the word field may not have tokenizer overrides,Tokenizer overrides are only allowed on named fields.,Apply the override to a named field.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-BADCUSTOMFIELD
ADMIN-BADFIELDTYPE,ADMIN,Incorrect field: The field variable1 already has a field-path.,Setting include-document-root is not allowed on path-fields.,Do not set include-root on the field.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-BADFIELDTYPE
ADMIN-BADOVERRIDE,ADMIN,Bad tokenizer override: override of 'variable1' to 'variable2' is invalid,"The override character consists of multiple codepoints; or codepoints in the surrogate character range; or codepoints that are combining characters (Unicode Mn).",Choose a different override character.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-BADOVERRIDE
ADMIN-BADPATH,ADMIN,Path expression variable1 is not indexable.,One or more of the index path expressions have incorrect XPath syntax.,Make sure that only allowed XPath syntax is used in the index path expressions.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-BADPATH
ADMIN-BADPATHFIELDTYPE,ADMIN,Incorrect field: the field variable1 already has include-root.,Setting field-paths is not allowed on non-path-fields.,Do not set field-paths on the field.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-BADPATHFIELDTYPE
ADMIN-BADPATHNAMESPACE,ADMIN,Undefined path namespace(s): variable1.,One or more of the namespace prefixes used in index path expression are not defined.,Define all the path namespaces before using them in index path expressions.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-BADPATHNAMESPACE
ADMIN-BADPATHWEIGHT,ADMIN,Negative path weight variable1 is not allowed.,One or more of the index paths have negative weight.,Make sure that all index paths have zero or positive weights.,https://docs.marklogic.com/messages/ADMIN-en/ADMIN-BADPATHWEIGHT
